Observations,Solutions
acceleration timeout,Annotation
Alert temperature limiter,Reference using bypass
CL WRX Control has stopped working,Check table
Focus out of range error,Calibrate optics
Grid zero error,Calibrate optics
HV error,Calibrate optics
M2_89_02,Adjust powder nipples
No CAN connection error,Adjust build chamber
Powder chamber target position not reachable,Align rake
Regulation failed,Align laser camera
SPS not connected,Apply for license key
Heating failing,Beam verification plate.
JAT_03_5442,Build fail
Lasercurve calibration error,Build simulation remotely
Error M2_80_11,Build table top replacement
Error M2_84_11,Build verification plate
Error M2_84_15,Build SAT
Error M2_84_5,Calibrate optics
M2_89_0,calibration
Error M2_89_2,Calibrate beam
Error MLAB_G04,Calibrate beam
Build parts bad quality,Calibrate laser
Error RTC_01_5,Calibrate using E+E probes
Error RTC_01_5,Calibrate flatbed scanner
software error,Change bottom column
Ventilation error,Change build chamber carrier plate
Error XLINE_02_12,Change chamber light
Not using original powder,Change clampex
Recoater in wrong position,Change coater cover belt angle bar
Excess conductivity fault,Change door O-ring
Temperature too high,Change laser chiller
P/S alarms,Change process theme
A2X,Change pump
Air conditioner unit faulty,change setting
Air flow fluctuating,Change pilz main basic end plug
Laser alignment error,Changed. laser
Laser alignment error,Check breaker
Arc trip error,Check build files
Arc trip error,Check cables
ASC calibration error,Check cables
Beam auto calibration fail,Check drive
Beam auto calibration fail,Check error code
Axis error,Check field correction
Back reflection error,Check focus
B&R communication error,Check for level
Powder distribution issue,Check if powder leaked
Door sensor malfunctioning,Check laser equalization
Build parts bad quality,Check laser position
Build parts bad quality,Check laser power
Build parts bad quality,Check laser power
Build parts bad quality,Check laser rail system
Build parts bad quality,Check line connection
Build parts bad quality,Mechanical calibration
Vacuum not sufficient,Check mounted correct
Laser focus failure,Check powder damaged
Laser alignment error,Check build files
Beam auto calibration fail,Check the clampx
Beam interfered with gun,Check curve power
Beam interfered with gun,Checked machine
Bearing set broken,Check optical system
Build parts bad quality,Check scanner
Filter broken,Chiller failing
Powder melting error,Clean
Build assembler not working,Clean machine
Build chamber stuck,Clean machine
Build chamber stuck,Clean o-ring
Build chamber stuck,Cross tigthen bolts
Build chamber error,Decommissioning machine
Build chamber stuck,Training customer
Build chamber stuck,Dismount build chamber
Build chamber stuck,Dismount heating plate
Build chamber tracking error,laser
Build chamber won't reference,Laser over heating
Build chamber won't reference,Lower platform then start build
build crashing,Calibrate machine 
Build dimension discrepancies,Check laser power
build crashing,Mechanical calibration
Build fail,Move machine
